short_name,source_model,full_name,tensor_shape,num_layers,num_modules,module_names,base_model_relation,source_note
111m,cerebras--Cerebras-GPT-111m,Corianas--111m,10x6,10,6,"[""self_attn.k_proj"", ""self_attn.q_proj"", ""self_attn.v_proj"", ""self_attn.o_proj"", ""mlp.up_proj"", ""mlp.down_proj""]",unknown,stage1:direct_base(first)
13B-BlueMethod,llama-13b,CalderaAI--13B-BlueMethod,40x7,40,7,"[""mlp.down_proj"", ""mlp.gate_proj"", ""mlp.up_proj"", ""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj""]",unknown,stage1:no_base_model
13B-HyperMantis,llama-13b,digitous--13B-HyperMantis,40x7,40,7,"[""mlp.down_proj"", ""mlp.gate_proj"", ""mlp.up_proj"", ""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj""]",unknown,stage1:no_base_model
13B-Legerdemain-L2,unknown,CalderaAI--13B-Legerdemain-L2,40x7,40,7,"[""mlp.down_proj"", ""mlp.gate_proj"", ""mlp.up_proj"", ""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj""]",unknown,stage1:no_base_model
13B-Ouroboros,llama-13b,CalderaAI--13B-Ouroboros,40x7,40,7,"[""mlp.down_proj"", ""mlp.gate_proj"", ""mlp.up_proj"", ""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj""]",unknown,stage1:no_base_model
256_5epoch,unknown,Corianas--256_5epoch,14x6,14,6,"[""self_attn.k_proj"", ""self_attn.q_proj"", ""self_attn.v_proj"", ""self_attn.o_proj"", ""mlp.up_proj"", ""mlp.down_proj""]",unknown,stage1:no_base_model
30B-Lazarus,unknown,CalderaAI--30B-Lazarus,60x7,60,7,"[""mlp.down_proj"", ""mlp.gate_proj"", ""mlp.up_proj"", ""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj""]",unknown,stage1:no_base_model
Adventien-GPTJ,unknown,digitous--Adventien-GPTJ,28x6,28,6,"[""self_attn.k_proj"", ""self_attn.o_proj"", ""self_attn.q_proj"", ""self_attn.v_proj"", ""mlp.up_proj"", ""mlp.down_proj""]",unknown,stage1:no_base_model
Aira-Instruct-124M,unknown,nicholasKluge--Aira-Instruct-124M,12x6,12,6,"[""self_attn.k_proj"", ""self_attn.q_proj"", ""self_attn.v_proj"", ""self_attn.o_proj"", ""mlp.up_proj"", ""mlp.down_proj""]",unknown,stage1:not_in_parent_map
Aira-Instruct-1B5,unknown,nicholasKluge--Aira-Instruct-1B5,48x6,48,6,"[""self_attn.k_proj"", ""self_attn.q_proj"", ""self_attn.v_proj"", ""self_attn.o_proj"", ""mlp.up_proj"", ""mlp.down_proj""]",unknown,stage1:not_in_parent_map
