,model_id,model_name
0,0,Corianas--111m
1,1,CalderaAI--13B-BlueMethod
2,2,digitous--13B-HyperMantis
3,3,CalderaAI--13B-Legerdemain-L2
4,4,CalderaAI--13B-Ouroboros
5,5,Corianas--256_5epoch
6,6,CalderaAI--30B-Lazarus
7,7,digitous--Adventien-GPTJ
8,8,nicholasKluge--Aira-Instruct-124M
9,9,nicholasKluge--Aira-Instruct-1B5
10,10,nicholasKluge--Aira-Instruct-355M
11,11,nicholasKluge--Aira-Instruct-774M
12,12,nicholasKluge--Aira-Instruct-PT-1B7
13,13,jondurbin--airoboros-13b
14,14,jondurbin--airoboros-13b-gpt4-1.2
15,15,jondurbin--airoboros-13b-gpt4-1.3
16,16,jondurbin--airoboros-13b-gpt4-1.4
17,17,jondurbin--airoboros-13b-gpt4-1.4-fp16
18,18,TheBloke--airoboros-13B-HF
19,19,jondurbin--airoboros-33b-gpt4-1.2
20,20,jondurbin--airoboros-33b-gpt4-1.4
21,21,jondurbin--airoboros-33b-gpt4-2.0
22,22,jondurbin--airoboros-33b-gpt4-m2.0
23,23,jondurbin--airoboros-65b-gpt4-1.2
24,24,jondurbin--airoboros-65b-gpt4-1.3
25,25,jondurbin--airoboros-65b-gpt4-1.4
26,26,jondurbin--airoboros-65b-gpt4-m2.0
27,27,jondurbin--airoboros-7b
28,28,jondurbin--airoboros-7b-gpt4
29,29,jondurbin--airoboros-7b-gpt4-1.1
30,30,jondurbin--airoboros-7b-gpt4-1.2
31,31,jondurbin--airoboros-7b-gpt4-1.3
32,32,jondurbin--airoboros-7b-gpt4-1.4
33,33,jondurbin--airoboros-7b-gpt4-1.4.1-qlora
34,34,TheBloke--airoboros-7b-gpt4-fp16
35,35,jondurbin--airoboros-gpt-3.5-turbo-100k-7b
36,36,jondurbin--airoboros-l2-13b-gpt4-1.4.1
37,37,jondurbin--airoboros-l2-70b-gpt4-1.4.1
38,38,jondurbin--airoboros-l2-70b-gpt4-2.0
39,39,jondurbin--airoboros-l2-70b-gpt4-m2.0
40,40,jondurbin--airoboros-l2-7b-gpt4-1.4.1
41,41,kingbri--airolima-chronos-grad-l2-13B
42,42,bhenrym14--airophin-13b-pntk-16k-fp16
43,43,vicgalle--alpaca-7b
44,44,WeOpenML--Alpaca-7B-v1
45,45,dsvv-cair--alpaca-cleaned-llama-30b-bf16
46,46,TheBloke--alpaca-lora-65B-HF
47,47,LLMs--AlpacaGPT4-7B-elina
48,48,xzuyn--Alpacino-SuperCOT-13B
49,49,digitous--Alpacino13b
50,50,digitous--Alpacino30b
51,51,haonan-li--bactrian-x-llama-13b-merged
52,52,baichuan-inc--Baichuan-7B
53,53,fireballoon--baichuan-vicuna-chinese-7b
54,54,project-baize--baize-v2-13b
55,55,project-baize--baize-v2-7b
56,56,ehartford--based-30b
57,57,huggingtweets--bladeecity-jerma985
58,58,bigscience--bloom-1b1
59,59,TheTravellingEngineer--bloom-1b1-RLHF
60,60,bigscience--bloom-560m
61,61,TheTravellingEngineer--bloom-560m-RLHF-v2
62,62,bigscience--bloom-7b1
63,63,Azure99--blossom-v2-3b
64,64,jxhong--CAlign-alpaca-7b
65,65,camel-ai--CAMEL-13B-Combined-Data
66,66,camel-ai--CAMEL-13B-Role-Playing-Data
67,67,camel-ai--CAMEL-33B-Combined-Data
68,68,Writer--camel-5b-hf
69,69,garage-bAInd--Camel-Platypus2-13B
70,70,cerebras--Cerebras-GPT-1.3B
71,71,cerebras--Cerebras-GPT-111M
72,72,SebastianSchramm--Cerebras-GPT-111M-instruction
73,73,cerebras--Cerebras-GPT-13B
74,74,cerebras--Cerebras-GPT-2.7B
75,75,lxe--Cerebras-GPT-2.7B-Alpaca-SP
76,76,cerebras--Cerebras-GPT-256M
77,77,cerebras--Cerebras-GPT-6.7B
78,78,voidful--changpt-bart
79,79,TehVenom--ChanMalion
80,80,mncai--chatdoctor
81,81,THUDM--chatglm2-6b
82,82,AlekseyKorshuk--chatml-pyg-v1
83,83,ziqingyang--chinese-alpaca-2-7b
84,84,shibing624--chinese-alpaca-plus-13b-hf
85,85,shibing624--chinese-alpaca-plus-7b-hf
86,86,ziqingyang--chinese-llama-2-7b
87,87,shibing624--chinese-llama-plus-13b-hf
88,88,aisquared--chopt-1_3b
89,89,aisquared--chopt-2_7b
90,90,Henk717--chronoboros-33B
91,91,kingbri--chronolima-airo-grad-l2-13B
92,92,elinas--chronos-13b-v2
93,93,elinas--chronos-33b
94,94,The-Face-Of-Goonery--Chronos-Beluga-v2-13bfp16
95,95,Austism--chronos-hermes-13b-v2
96,96,Salesforce--codegen-16B-nl
97,97,Salesforce--codegen-6B-multi
98,98,Salesforce--codegen-6B-nl
99,99,microsoft--CodeGPT-small-py
100,100,Fredithefish--CrimsonPajama
101,101,PocketDoc--Dans-PileOfSets-Mk1-llama-13b-merged
102,102,PSanni--Deer-3b
103,103,pillowtalks-ai--delta13b
104,104,microsoft--DialoGPT-large
105,105,microsoft--DialoGPT-medium
106,106,abhiramtirumala--DialoGPT-sarcastic-medium
107,107,microsoft--DialoGPT-small
108,108,TehVenom--DiffMerge-DollyGPT-Pygmalion
109,109,BreadAi--DiscordPy
110,110,aisquared--dlite-v1-124m
111,111,aisquared--dlite-v1-1_5b
112,112,aisquared--dlite-v1-355m
113,113,aisquared--dlite-v1-774m
114,114,aisquared--dlite-v2-124m
115,115,aisquared--dlite-v2-1_5b
116,116,aisquared--dlite-v2-355m
117,117,aisquared--dlite-v2-774m
118,118,databricks--dolly-v2-12b
119,119,databricks--dolly-v2-3b
120,120,databricks--dolly-v2-7b
121,121,TehVenom--Dolly_Malion-6b
122,122,TehVenom--Dolly_Shygmalion-6b
123,123,TehVenom--Dolly_Shygmalion-6b-Dev_V8P2
124,124,ehartford--dolphin-llama-13b
125,125,ehartford--dolphin-llama2-7b
126,126,breadlicker45--dough-instruct-base-001
127,127,TheBloke--dromedary-65b-lora-HF
128,128,duliadotio--dulia-13b-8k-alpha
129,129,Quake24--easyTermsSummerizer
130,130,KoboldAI--fairseq-dense-125M
131,131,KoboldAI--fairseq-dense-2.7B
132,132,KoboldAI--fairseq-dense-355M
133,133,KoboldAI--fairseq-dense-6.7B
134,134,tiiuae--falcon-40b
135,135,tiiuae--falcon-40b-instruct
136,136,tiiuae--falcon-7b
137,137,Tincando--fiction_story_generator
138,138,MayaPH--FinOPT-Franklin
139,139,MayaPH--FinOPT-Lincoln
140,140,MayaPH--FinOPT-Washington
141,141,YeungNLP--firefly-llama-13b
142,142,YeungNLP--firefly-llama-13b-v1.2
143,143,YeungNLP--firefly-llama-30b
144,144,YeungNLP--firefly-llama2-13b
145,145,YeungNLP--firefly-llama2-13b-v1.2
146,146,YeungNLP--firefly-ziya-13b
147,147,FPHam--Free_Sydney_13b_HF
148,148,facebook--galactica-30b
149,149,KnutJaegersberg--galactica-orca-wizardlm-1.3b
150,150,GeorgiaTechResearchInstitute--galpaca-30b
151,151,ashercn97--giraffe-7b
152,152,huggingtweets--gladosystem
153,153,GOAT-AI--GOAT-7B-Community
154,154,MayaPH--GodziLLa-30B
155,155,golaxy--gogpt-3b-bloom
156,156,golaxy--gogpt-7b
157,157,golaxy--gogpt-7b-bloom
158,158,golaxy--gogpt2-7b
159,159,golaxy--goims
160,160,lilloukas--GPlatty-30B
161,161,KnutJaegersberg--gpt-2-xl-EvolInstruct
162,162,EleutherAI--gpt-j-6b
163,163,KoboldAI--GPT-J-6B-Adventure
